datetime,date,doy,time,distance,transect,lai.masked,sel
2008-08-17T19:23:18,2008-08-17,230,19:23:18,50,195,4.21,0.06
2008-08-17T19:26:48,2008-08-17,230,19:26:48,100,195,4.13,0.15
2008-08-17T19:29:14,2008-08-17,230,19:29:14,150,195,4.02,0.03
2008-08-17T19:31:25,2008-08-17,230,19:31:25,200,195,5.11,0.25
2008-08-17T19:41:39,2008-08-17,230,19:41:39,50,225,4.07,0.06
2008-08-17T19:39:19,2008-08-17,230,19:39:19,100,225,4.4,0.2
2008-08-17T19:37:06,2008-08-17,230,19:37:06,150,225,4.27,0.03
2008-08-17T19:34:31,2008-08-17,230,19:34:31,200,225,3.8,0.06
2008-08-17T19:44:58,2008-08-17,230,19:44:58,50,255,4.46,0.13
2008-08-17T19:48:01,2008-08-17,230,19:48:01,100,255,4.01,0.06
2008-08-17T19:50:59,2008-08-17,230,19:50:59,150,255,4.61,0.08
2009-08-17T19:23:18,2009-08-17,229,19:23:18,50,195,4.73,0.1
2009-08-17T19:26:48,2009-08-17,229,19:26:48,100,195,4.74,0.17
2009-08-17T19:29:14,2009-08-17,229,19:29:14,150,195,4.54,0.02
2009-08-17T19:31:25,2009-08-17,229,19:31:25,200,195,5.81,0.32
2009-08-17T19:41:39,2009-08-17,229,19:41:39,50,225,4.46,0.09
2009-08-17T19:39:19,2009-08-17,229,19:39:19,100,225,4.96,0.25
2009-08-17T19:37:06,2009-08-17,229,19:37:06,150,225,4.78,0.03
2009-08-17T19:34:31,2009-08-17,229,19:34:31,200,225,4.25,0.09
2009-08-17T19:44:58,2009-08-17,229,19:44:58,50,255,5.19,0.13
2009-08-17T19:48:01,2009-08-17,229,19:48:01,100,255,4.74,0.08
2009-08-17T19:50:59,2009-08-17,229,19:50:59,150,255,5.42,0.04
2012-05-02T11:41:57,2012-05-02,123,11:41:57,50,195,3.34,0.07
2012-05-02T11:43:52,2012-05-02,123,11:43:52,100,195,3.98,0.02
2012-05-02T11:45:39,2012-05-02,123,11:45:39,150,195,3.24,0.04
2012-05-02T11:47:36,2012-05-02,123,11:47:36,200,195,3.94,0.22
2012-05-02T11:57:12,2012-05-02,123,11:57:12,50,225,3.79,0.03
2012-05-02T11:55:04,2012-05-02,123,11:55:04,100,225,3.84,0.19
2012-05-02T11:53:17,2012-05-02,123,11:53:17,150,225,4.12,0.06
2012-05-02T11:51:01,2012-05-02,123,11:51:01,200,225,3.57,0.02
2012-05-02T11:58:46,2012-05-02,123,11:58:46,50,255,3.47,0.1
2012-05-02T12:00:43,2012-05-02,123,12:00:43,100,255,4.04,0.16
2012-05-02T12:03:04,2012-05-02,123,12:03:04,150,255,4,0.07
2012-05-02T12:03:58,2012-05-02,123,12:03:58,160,255,3.43,0.24
2012-08-29T18:37:51,2012-08-29,242,18:37:51,50,195,4.19,0.07
2012-08-29T18:40:02,2012-08-29,242,18:40:02,100,195,4.46,0.06
2012-08-29T18:41:36,2012-08-29,242,18:41:36,150,195,4.45,0.09
2012-08-29T18:44:17,2012-08-29,242,18:44:17,200,195,5.52,0.16
2012-08-29T18:52:26,2012-08-29,242,18:52:26,50,225,3.84,0.03
2012-08-29T18:50:17,2012-08-29,242,18:50:17,100,225,4.57,0.05
2012-08-29T18:48:48,2012-08-29,242,18:48:48,150,225,4.42,0.08
2012-08-29T18:46:57,2012-08-29,242,18:46:57,200,225,3.89,0.04
2012-08-29T18:53:42,2012-08-29,242,18:53:42,50,255,3.83,0.11
2012-08-29T18:55:21,2012-08-29,242,18:55:21,100,255,4.74,0.1
2012-08-29T18:57:08,2012-08-29,242,18:57:08,150,255,4.87,0.19
2012-08-29T18:58:08,2012-08-29,242,18:58:08,160,255,4.85,0.16
2013-04-23T06:36:12,2013-04-23,113,6:36:12,50,195,3.52,0.05
2013-04-23T06:39:38,2013-04-23,113,6:39:38,100,195,3.89,0.03
2013-04-23T06:41:21,2013-04-23,113,6:41:21,150,195,3.6,0.04
2013-04-23T06:42:56,2013-04-23,113,6:42:56,200,195,4.18,0.24
2013-04-23T06:45:47,2013-04-23,113,6:45:47,200,225,3.78,0.03
2013-04-23T06:48:11,2013-04-23,113,6:48:11,150,225,3.9,0.07
2013-04-23T07:03:21,2013-04-23,113,7:03:21,100,225,3.46,0.07
2013-04-23T06:52:28,2013-04-23,113,6:52:28,50,255,3.4,0.09
2013-04-23T06:55:03,2013-04-23,113,6:55:03,100,255,4.06,0.13
2013-04-23T06:57:01,2013-04-23,113,6:57:01,150,255,4.22,0.08
2013-04-23T06:57:58,2013-04-23,113,6:57:58,160,255,3.59,0.23
2013-08-13T06:29:28,2013-08-13,225,6:29:28,50,195,4.21,0.04
2013-08-13T06:32:16,2013-08-13,225,6:32:16,100,195,4.49,0.08
2013-08-13T06:34:29,2013-08-13,225,6:34:29,150,195,4.38,0.12
2013-08-13T06:36:22,2013-08-13,225,6:36:22,200,195,5.37,0.17
2013-08-13T06:40:04,2013-08-13,225,6:40:04,200,225,3.95,0.04
2013-08-13T06:42:18,2013-08-13,225,6:42:18,150,225,4.52,0.05
2013-08-13T06:44:11,2013-08-13,225,6:44:11,100,225,4.42,0.11
2013-08-13T06:46:20,2013-08-13,225,6:46:20,50,225,3.74,0.03
2013-08-13T06:47:49,2013-08-13,225,6:47:49,50,255,3.66,0.11
2013-08-13T06:49:38,2013-08-13,225,6:49:38,100,255,4.85,0.12
2013-08-13T06:51:58,2013-08-13,225,6:51:58,150,255,5.48,0.08
2013-08-13T06:52:59,2013-08-13,225,6:52:59,160,255,5.21,0.19
2014-04-25T06:33:40,2014-04-25,115,6:33:40,50,195,3.21,0.04
2014-04-25T06:35:55,2014-04-25,115,6:35:55,100,195,3.64,0.05
2014-04-25T06:37:31,2014-04-25,115,6:37:31,150,195,3.15,0.05
2014-04-25T06:39:12,2014-04-25,115,6:39:12,200,195,3.85,0.15
2014-04-25T06:41:47,2014-04-25,115,6:41:47,200,225,3.51,0.05
2014-04-25T06:43:33,2014-04-25,115,6:43:33,150,225,3.66,0.08
2014-04-25T06:45:17,2014-04-25,115,6:45:17,100,225,3.46,0.13
2014-04-25T06:47:15,2014-04-25,115,6:47:15,50,225,3.19,0.04
2014-04-25T06:48:34,2014-04-25,115,6:48:34,50,255,2.9,0.06
2014-04-25T06:50:18,2014-04-25,115,6:50:18,100,255,3.73,0.11
2014-04-25T06:52:17,2014-04-25,115,6:52:17,150,255,3.95,0.06
2014-04-25T06:53:18,2014-04-25,115,6:53:18,160,255,3.42,0.2
2014-08-20T06:06:45,2014-08-20,232,6:06:45,50,195,4.25,0.04
2014-08-20T06:09:27,2014-08-20,232,6:09:27,100,195,4.52,0.05
2014-08-20T06:11:26,2014-08-20,232,6:11:26,150,195,4.47,0.12
2014-08-20T06:13:31,2014-08-20,232,6:13:31,200,195,5.39,0.13
2014-08-20T06:16:55,2014-08-20,232,6:16:55,200,225,3.94,0.07
2014-08-20T06:19:06,2014-08-20,232,6:19:06,150,225,4.28,0.06
2014-08-20T06:21:08,2014-08-20,232,6:21:08,100,225,4.43,0.1
2014-08-20T06:24:30,2014-08-20,232,6:24:30,50,225,3.71,0.02
2014-08-20T06:25:56,2014-08-20,232,6:25:56,50,255,3.61,0.09
2014-08-20T06:27:33,2014-08-20,232,6:27:33,100,255,4.97,0.1
2014-08-20T06:30:01,2014-08-20,232,6:30:01,150,255,5.52,0.06
2014-08-20T06:31:04,2014-08-20,232,6:31:04,160,255,5.28,0.16
2015-04-24T06:28:29,2015-04-24,114,6:28:29,50,195,3.2,0.04
2015-04-24T06:31:18,2015-04-24,114,6:31:18,100,195,3.49,0.04
2015-04-24T06:33:23,2015-04-24,114,6:33:23,150,195,3.03,0.05
2015-04-24T06:34:47,2015-04-24,114,6:34:47,200,195,3.55,0.16
2015-04-24T06:38:18,2015-04-24,114,6:38:18,200,225,3.54,0.04
2015-04-24T06:40:27,2015-04-24,114,6:40:27,150,225,3.54,0.06
2015-04-24T06:42:24,2015-04-24,114,6:42:24,100,225,3.4,0.14
2015-04-24T06:44:14,2015-04-24,114,6:44:14,50,225,3.19,0.02
2015-04-24T06:45:44,2015-04-24,114,6:45:44,50,255,2.84,0.04
2015-04-24T06:47:28,2015-04-24,114,6:47:28,100,255,3.76,0.13
2015-04-24T06:50:36,2015-04-24,114,6:50:36,150,255,4.04,0.06
2015-04-24T06:51:40,2015-04-24,114,6:51:40,160,255,3.5,0.19
2015-08-14T06:04:05,2015-08-14,226,6:04:05,50,195,4.15,0.06
2015-08-14T06:06:47,2015-08-14,226,6:06:47,100,195,4.28,0.05
2015-08-14T06:08:51,2015-08-14,226,6:08:51,150,195,4.15,0.14
2015-08-14T06:10:47,2015-08-14,226,6:10:47,200,195,4.99,0.09
2015-08-14T06:13:55,2015-08-14,226,6:13:55,200,225,3.81,0.06
2015-08-14T06:16:05,2015-08-14,226,6:16:05,150,225,4.05,0.05
2015-08-14T06:17:46,2015-08-14,226,6:17:46,100,225,4.21,0.12
2015-08-14T06:19:44,2015-08-14,226,6:19:44,50,225,3.58,0.01
2015-08-14T06:21:30,2015-08-14,226,6:21:30,50,255,3.64,0.11
2015-08-14T06:23:57,2015-08-14,226,6:23:57,100,255,4.64,0.08
2015-08-14T06:26:08,2015-08-14,226,6:26:08,150,255,5.43,0.04
2015-08-14T06:27:09,2015-08-14,226,6:27:09,160,255,5.45,0.16
