time_yr,relHum,pco2_mol,co2_ppm,Ca,temp_C,Tv
0.5,0.021352,1.48E+17,8.35E-04,835.13,22.947831,296.097831
1.5,0.021356,1.48E+17,8.35E-04,835.43,22.949611,296.099611
2.5,0.021357,1.48E+17,8.36E-04,835.73,22.950133,296.100133
3.5,0.021357,1.48E+17,8.36E-04,836.04,22.950178,296.100178
4.5,0.021357,1.48E+17,8.36E-04,836.34,22.950207,296.100207
5.5,0.021357,1.48E+17,8.37E-04,836.63,22.950456,296.100456
6.5,0.021358,1.48E+17,8.37E-04,836.93,22.951023,296.101023
7.5,0.021359,1.48E+17,8.37E-04,837.23,22.951827,296.101827
8.5,0.021359,1.48E+17,8.38E-04,837.52,22.952775,296.102775
9.5,0.02136,1.48E+17,8.38E-04,837.82,22.953838,296.103838
10.5,0.021362,1.48E+17,8.38E-04,838.11,22.955017,296.105017
11.5,0.021363,1.48E+17,8.38E-04,838.41,22.956294,296.106294
12.5,0.021364,1.48E+17,8.39E-04,838.70,22.957593,296.107593
13.5,0.021365,1.48E+17,8.39E-04,838.99,22.958838,296.108838
14.5,0.021366,1.48E+17,8.39E-04,839.28,22.959965,296.109965
15.5,0.021367,1.49E+17,8.40E-04,839.57,22.961004,296.111004
16.5,0.021369,1.49E+17,8.40E-04,839.86,22.962008,296.112008
17.5,0.02137,1.49E+17,8.40E-04,840.14,22.963052,296.113052
18.5,0.021371,1.49E+17,8.40E-04,840.43,22.964491,296.114491
19.5,0.021373,1.49E+17,8.41E-04,840.72,22.965947,296.115947
21.5,0.021374,1.49E+17,8.41E-04,841.28,22.967398,296.117398
23.5,0.021375,1.49E+17,8.42E-04,841.85,22.968314,296.118314
25.5,0.021377,1.49E+17,8.42E-04,842.41,22.969468,296.119468
27.5,0.021378,1.49E+17,8.43E-04,842.97,22.970354,296.120354
29.5,0.021378,1.49E+17,8.44E-04,843.53,22.971063,296.121063
31.5,0.02138,1.49E+17,8.44E-04,844.09,22.972914,296.122914
33.5,0.021382,1.49E+17,8.45E-04,844.64,22.975359,296.125359
35.5,0.021385,1.50E+17,8.45E-04,845.20,22.978169,296.128169
37.5,0.021388,1.50E+17,8.46E-04,845.75,22.981341,296.131341
39.5,0.021391,1.50E+17,8.46E-04,846.30,22.984307,296.134307
41.5,0.021394,1.50E+17,8.47E-04,846.84,22.986796,296.136796
43.5,0.021397,1.50E+17,8.47E-04,847.39,22.989364,296.139364
